,Bestellnummer,d1 (mm),l1 (mm),d2,d4 (mm),l2 (mm),l4 (mm),Werkstoff

,GN 310-8-63-D-NI,8,63,M6,20,9,32,Edelstahl
,GN 310-8-80-D-NI,8,80,M6,20,9,32,Edelstahl
,GN 310-8-100-D-NI,8,100,M6,20,9,32,Edelstahl
,GN 310-10-80-D-NI,10,80,M8,26,11,42,Edelstahl
,GN 310-10-100-D-NI,10,100,M8,26,11,42,Edelstahl
,GN 310-10-125-D-NI,10,125,M8,26,11,42,Edelstahl
,GN 310-12-100-D-NI,12,100,M10,33,14,55,Edelstahl
,GN 310-12-125-D-NI,12,125,M10,33,14,55,Edelstahl
,GN 310-12-160-D-NI,12,160,M10,33,14,55,Edelstahl
,GN 310-14-125-D-NI,14,125,M12,33,16,55,Edelstahl
,GN 310-14-160-D-NI,14,160,M12,33,16,55,Edelstahl
,GN 310-14-200-D-NI,14,200,M12,33,16,55,Edelstahl
,GN 310-16-160-D-NI,16,160,M14,38,18,69,Edelstahl
,GN 310-16-200-D-NI,16,200,M14,38,18,69,Edelstahl
,GN 310-16-250-D-NI,16,250,M14,38,18,69,Edelstahl
