,Bestellnummer,d1 (mm),l1 (mm),d2,d3 (mm),l2 (mm),l3 (mm),Werkstoff

,GN 310-8-63-A-ZB,8,63,M6,20,9,18,Stahl
,GN 310-8-80-A-ZB,8,80,M6,20,9,18,Stahl
,GN 310-8-100-A-ZB,8,100,M6,20,9,18,Stahl
,GN 310-10-80-A-ZB,10,80,M8,25,11,22.5,Stahl
,GN 310-10-100-A-ZB,10,100,M8,25,11,22.5,Stahl
,GN 310-10-125-A-ZB,10,125,M8,25,11,22.5,Stahl
,GN 310-12-100-A-ZB,12,100,M10,32,14,29,Stahl
,GN 310-12-125-A-ZB,12,125,M10,32,14,29,Stahl
,GN 310-12-160-A-ZB,12,160,M10,32,14,29,Stahl
,GN 310-14-125-A-ZB,14,125,M12,35,16,32.5,Stahl
,GN 310-14-160-A-ZB,14,160,M12,35,16,32.5,Stahl
,GN 310-14-200-A-ZB,14,200,M12,35,16,32.5,Stahl
,GN 310-16-160-A-ZB,16,160,M14,40,18,37,Stahl
,GN 310-16-200-A-ZB,16,200,M14,40,18,37,Stahl
,GN 310-16-250-A-ZB,16,250,M14,40,18,37,Stahl
