,Bestellnummer,d1 (mm),l1 (mm),d2,d5 (mm),l2 (mm),l5 (mm),Werkstoff

,GN 310-8-63-E-ZB,8,63,M6,18,9,40,Stahl
,GN 310-8-80-E-ZB,8,80,M6,18,9,40,Stahl
,GN 310-8-100-E-ZB,8,100,M6,18,9,40,Stahl
,GN 310-10-80-E-ZB,10,80,M8,21,11,50,Stahl
,GN 310-10-100-E-ZB,10,100,M8,21,11,50,Stahl
,GN 310-10-125-E-ZB,10,125,M8,21,11,50,Stahl
,GN 310-12-100-E-ZB,12,100,M10,23,14,65,Stahl
,GN 310-12-125-E-ZB,12,125,M10,23,14,65,Stahl
,GN 310-12-160-E-ZB,12,160,M10,23,14,65,Stahl
,GN 310-14-125-E-ZB,14,125,M12,26,16,80,Stahl
,GN 310-14-160-E-ZB,14,160,M12,26,16,80,Stahl
,GN 310-14-200-E-ZB,14,200,M12,26,16,80,Stahl
,GN 310-16-160-E-ZB,16,160,M14,28,18,90,Stahl
,GN 310-16-200-E-ZB,16,200,M14,28,18,90,Stahl
,GN 310-16-250-E-ZB,16,250,M14,28,18,90,Stahl
