,Bestellnummer,d1 (mm),d4,d5 (mm),d6 (mm),h1 (mm),h2 (mm),Werkstoff

,GN 3663-27-M4-XX-Y,27,M4,10,19,35,9.5,Aluminium/Stahl
,GN 3663-27-M5-XX-Y,27,M5,10,19,35,9.5,Aluminium/Stahl
,GN 3663-34-M5-XX-Y,34,M5,10,21,37.5,9.5,Aluminium/Stahl
,GN 3663-34-M6-XX-Y,34,M6,10,21,37.5,9.5,Aluminium/Stahl
,GN 3663-42-M8-XX-Y,42,M8,13.5,27,43.5,11.5,Aluminium/Stahl
,GN 3663-42-M10-XX-Y,42,M10,13.5,27,43.5,11.5,Aluminium/Stahl
,GN 3663-52-M10-XX-Y,52,M10,19,32,54,15.5,Aluminium/Stahl
,GN 3663-52-M12-XX-Y,52,M12,19,32,54,15.5,Aluminium/Stahl
,GN 3663-62-M10-XX-Y,62,M10,19,33,54,15.5,Aluminium/Stahl
,GN 3663-62-M12-XX-Y,62,M12,19,33,54,15.5,Aluminium/Stahl
