,Bestellnummer,d1 (mm),d2,d3 (mm),l1 (mm),l2 (mm),l3 (mm),Werkstoff

,GN 519-14-M5,14,M5,11,28,12,1.5,Kunststoff
,GN 519-18-M6,18,M6,15,40,25,3.5,Kunststoff
,GN 519-18-M8,18,M8,15,40,25,3.5,Kunststoff
,GN 519-21-M6,21,M6,17,50,25,3.5,Kunststoff
,GN 519-21-M8,21,M8,17,50,35,7.5,Kunststoff
,GN 519-23-M8,23,M8,19,65,30,7.5,Kunststoff
,GN 519-23-M10,23,M10,19,65,40,7.5,Kunststoff
,GN 519-26-M8,26,M8,21,80,45,7,Kunststoff
,GN 519-26-M10,26,M10,21,80,55,7,Kunststoff
,GN 519-26-M12,26,M12,21,80,55,10,Kunststoff
,GN 519-28-M8,28,M8,22,90,45,7,Kunststoff
,GN 519-28-M10,28,M10,22,90,55,7,Kunststoff
,GN 519-28-M12,28,M12,22,90,58,8,Kunststoff
,GN 519-29-M12,29,M12,23,116,58,8,Kunststoff
,GN 519-31-M12,31,M12,25,102,58,8,Kunststoff
