,Bestellnummer,d1 (mm),d2,d3 (mm),d4 (mm),l1 (mm),l2 (mm),l3 (mm),Werkstoff

,GN 598.1-KU-18-M6,18,M6,10,15,40,12,2.5,Kunststoff/Edelstahl
,GN 598.1-KU-21-M6,21,M6,10,17,50,13,2.5,Kunststoff/Edelstahl
,GN 598.1-KU-23-M8,23,M8,13,19,65,14,2.5,Kunststoff/Edelstahl
,GN 598.1-KU-26-M10,26,M10,13,21,80,16,2.5,Kunststoff/Edelstahl
,GN 598.1-KU-28-M10,28,M10,13,22,90,16,2.5,Kunststoff/Edelstahl
,GN 598.1-KU-31-M12,31,M12,14,25,102,20,2.5,Kunststoff/Edelstahl
,GN 598.1-KT-18-M6,18,M6,10,15,40,12,2.5,Kunststoff/Edelstahl
,GN 598.1-KT-21-M6,21,M6,10,17,50,13,2.5,Kunststoff/Edelstahl
,GN 598.1-KT-23-M8,23,M8,13,19,65,14,2.5,Kunststoff/Edelstahl
,GN 598.1-KT-26-M10,26,M10,13,21,80,16,2.5,Kunststoff/Edelstahl
,GN 598.1-KT-28-M10,28,M10,13,22,90,16,2.5,Kunststoff/Edelstahl
